crovir-transcript-15539,43162_crovir-transcript-15539
crovir-transcript-1995,HDAC9_crovir-transcript-1995
crovir-transcript-11237,HDC_crovir-transcript-11237
crovir-transcript-11239,HDC_crovir-transcript-11239
crovir-transcript-9130,HDDC2_crovir-transcript-9130
crovir-transcript-4110,HDGF_crovir-transcript-4110
crovir-transcript-16712,HDGFL2_crovir-transcript-16712
crovir-transcript-11251,HDGFL3_crovir-transcript-11251
crovir-transcript-16977,HDHD3_crovir-transcript-16977
crovir-transcript-12293,HDHD5_crovir-transcript-12293
crovir-transcript-10709,HDLBP_crovir-transcript-10709
crovir-transcript-107,HDX_crovir-transcript-107
crovir-transcript-9424,HEATR1_crovir-transcript-9424
crovir-transcript-11489,HEATR3_crovir-transcript-11489
crovir-transcript-7414,HEATR4_crovir-transcript-7414
crovir-transcript-10083,HEATR6_crovir-transcript-10083
crovir-transcript-12028,HEBP1_crovir-transcript-12028
crovir-transcript-9222,HEBP2_crovir-transcript-9222
crovir-transcript-9202,HECA_crovir-transcript-9202
crovir-transcript-7324,HECTD1_crovir-transcript-7324
crovir-transcript-10341,HECTD2_crovir-transcript-10341
crovir-transcript-10345,HECTD2_crovir-transcript-10345
crovir-transcript-6094,HECTD3_crovir-transcript-6094
crovir-transcript-8152,HEG1_crovir-transcript-8152
crovir-transcript-10221,HELLS_crovir-transcript-10221
crovir-transcript-4311,HELQ_crovir-transcript-4311
crovir-transcript-4584,HELT_crovir-transcript-4584
crovir-transcript-4515,HELZ_crovir-transcript-4515
crovir-transcript-17012,HELZ2_crovir-transcript-17012
crovir-transcript-17013,HELZ2_crovir-transcript-17013
crovir-transcript-15181,HEMGN_crovir-transcript-15181
crovir-transcript-13653,HEMK1_crovir-transcript-13653
crovir-transcript-5735,HENMT1_crovir-transcript-5735
crovir-transcript-12770,HEPACAM_crovir-transcript-12770
crovir-transcript-1952,HEPACAM2_crovir-transcript-1952
crovir-transcript-4059,HEPHL1_crovir-transcript-4059
crovir-transcript-11054,HERC1_crovir-transcript-11054
crovir-transcript-3450,HERC2_crovir-transcript-3450
crovir-transcript-4335,HERC3_crovir-transcript-4335
crovir-transcript-10234,HERC4_crovir-transcript-10234
crovir-transcript-16062,HERPUD1_crovir-transcript-16062
crovir-transcript-2227,HERPUD2_crovir-transcript-2227
crovir-transcript-13518,HESX1_crovir-transcript-13518
crovir-transcript-11158,HEXA_crovir-transcript-11158
crovir-transcript-15705,HEXB_crovir-transcript-15705
crovir-transcript-14153,HEXDC_crovir-transcript-14153
crovir-transcript-5011,HEY1_crovir-transcript-5011
crovir-transcript-9128,HEY2_crovir-transcript-9128
crovir-transcript-5838,HFM1_crovir-transcript-5838
crovir-transcript-15080,HGD_crovir-transcript-15080
crovir-transcript-15082,HGD_crovir-transcript-15082
crovir-transcript-11620,HGF_crovir-transcript-11620
crovir-transcript-11621,HGF_crovir-transcript-11621
crovir-transcript-11622,HGF_crovir-transcript-11622
crovir-transcript-13731,HGFAC_crovir-transcript-13731
crovir-transcript-9461,HGFAC_crovir-transcript-9461
crovir-transcript-14314,HGS_crovir-transcript-14314
crovir-transcript-2464,HGSNAT_crovir-transcript-2464
crovir-transcript-9624,HHAT_crovir-transcript-9624
crovir-transcript-13892,HHATL_crovir-transcript-13892
crovir-transcript-10363,HHEX_crovir-transcript-10363
crovir-transcript-4470,HHIP_crovir-transcript-4470
crovir-transcript-7081,HHIPL1_crovir-transcript-7081
crovir-transcript-9582,HHIPL2_crovir-transcript-9582
crovir-transcript-2062,HIBADH_crovir-transcript-2062
crovir-transcript-8409,HIBCH_crovir-transcript-8409
crovir-transcript-4168,HIC2_crovir-transcript-4168
crovir-transcript-14233,HID1_crovir-transcript-14233
crovir-transcript-14246,HID1_crovir-transcript-14246
crovir-transcript-7004,HIF1A_crovir-transcript-7004
crovir-transcript-10219,HIF1AN_crovir-transcript-10219
crovir-transcript-16294,HIF3A_crovir-transcript-16294
crovir-transcript-13759,HIGD2A_crovir-transcript-13759
crovir-transcript-4091,HIKESHI_crovir-transcript-4091
crovir-transcript-7826,HINFP_crovir-transcript-7826
crovir-transcript-15521,HINT1_crovir-transcript-15521
crovir-transcript-15949,HINT1_crovir-transcript-15949
crovir-transcript-9125,HINT3_crovir-transcript-9125
crovir-transcript-9864,HIP1_crovir-transcript-9864
crovir-transcript-16369,HIP1R_crovir-transcript-16369
crovir-transcript-6352,HIPK1_crovir-transcript-6352
crovir-transcript-12208,HIPK2_crovir-transcript-12208
crovir-transcript-7662,HIPK3_crovir-transcript-7662
crovir-transcript-1218,HIPK4_crovir-transcript-1218
crovir-transcript-2998,HIRIP3_crovir-transcript-2998
crovir-transcript-5324,HIVEP1_crovir-transcript-5324
crovir-transcript-9247,HIVEP2_crovir-transcript-9247
crovir-transcript-892,HIVEP3_crovir-transcript-892
crovir-transcript-3808,HJURP_crovir-transcript-3808
crovir-transcript-13750,HK3_crovir-transcript-13750
crovir-transcript-10275,HKDC1_crovir-transcript-10275
crovir-transcript-3670,HLCS_crovir-transcript-3670
crovir-transcript-14475,HLF_crovir-transcript-14475
crovir-transcript-14493,HLF_crovir-transcript-14493
crovir-transcript-10808,HLTF_crovir-transcript-10808
crovir-transcript-9597,HLX_crovir-transcript-9597
crovir-transcript-9831,HMBOX1_crovir-transcript-9831
crovir-transcript-11474,HMBS_crovir-transcript-11474
crovir-transcript-13462,HMCES_crovir-transcript-13462
crovir-transcript-15112,HMCN1_crovir-transcript-15112
crovir-transcript-3751,HMCN1_crovir-transcript-3751
crovir-transcript-5681,HMCN1_crovir-transcript-5681
crovir-transcript-11105,HMG20A_crovir-transcript-11105
crovir-transcript-6876,HMG20B_crovir-transcript-6876
crovir-transcript-11850,HMGA2_crovir-transcript-11850
crovir-transcript-6217,HMGA2_crovir-transcript-6217
crovir-transcript-4623,HMGB1_crovir-transcript-4623
crovir-transcript-256,HMGB3_crovir-transcript-256
crovir-transcript-15704,HMGCR_crovir-transcript-15704
crovir-transcript-15819,HMGCS1_crovir-transcript-15819
crovir-transcript-5567,HMGCS2_crovir-transcript-5567
crovir-transcript-3664,HMGN1_crovir-transcript-3664
crovir-transcript-966,HMGN2_crovir-transcript-966
crovir-transcript-8959,HMGN3_crovir-transcript-8959
crovir-transcript-13829,HMGXB3_crovir-transcript-13829
crovir-transcript-12155,HMGXB4_crovir-transcript-12155
crovir-transcript-14026,HMMR_crovir-transcript-14026
crovir-transcript-1671,HMOX2_crovir-transcript-1671
crovir-transcript-10430,HMX3_crovir-transcript-10430
crovir-transcript-8894,HNF1A_crovir-transcript-8894
crovir-transcript-6546,HNF4A_crovir-transcript-6546
crovir-transcript-5024,HNF4G_crovir-transcript-5024
crovir-transcript-8142,HNMT_crovir-transcript-8142
crovir-transcript-8143,HNMT_crovir-transcript-8143
crovir-transcript-14651,HNRNPA1_crovir-transcript-14651
crovir-transcript-8293,HNRNPA3_crovir-transcript-8293
crovir-transcript-13862,HNRNPAB_crovir-transcript-13862
crovir-transcript-12336,HNRNPC_crovir-transcript-12336
crovir-transcript-4295,HNRNPDL_crovir-transcript-4295
crovir-transcript-13853,HNRNPH1_crovir-transcript-13853
crovir-transcript-7655,HNRNPH3_crovir-transcript-7655
crovir-transcript-15482,HNRNPK_crovir-transcript-15482
crovir-transcript-15485,HNRNPK_crovir-transcript-15485
crovir-transcript-6315,HNRNPL_crovir-transcript-6315
crovir-transcript-6316,HNRNPL_crovir-transcript-6316
crovir-transcript-9777,HNRNPLL_crovir-transcript-9777
crovir-transcript-10114,HNRNPM_crovir-transcript-10114
crovir-transcript-878,HNRNPR_crovir-transcript-878
crovir-transcript-9458,HNRNPU_crovir-transcript-9458
crovir-transcript-17316,HNRNPUL1_crovir-transcript-17316
crovir-transcript-12489,HNRNPUL2_crovir-transcript-12489
crovir-transcript-12491,HNRNPUL2_crovir-transcript-12491
crovir-transcript-10572,HOGA1_crovir-transcript-10572
crovir-transcript-11253,HOMER2_crovir-transcript-11253
crovir-transcript-11254,HOMER2_crovir-transcript-11254
crovir-transcript-6745,HOMER3_crovir-transcript-6745
crovir-transcript-16816,HOMEZ_crovir-transcript-16816
crovir-transcript-5968,HOOK1_crovir-transcript-5968
crovir-transcript-14045,HOOK2_crovir-transcript-14045
crovir-transcript-15248,HOOK3_crovir-transcript-15248
crovir-transcript-15154,HOPX_crovir-transcript-15154
crovir-transcript-12642,HORMAD1_crovir-transcript-12642
crovir-transcript-2055,HOXA1_crovir-transcript-2055
crovir-transcript-8295,HOXA1_crovir-transcript-8295
crovir-transcript-2049,HOXA11_crovir-transcript-2049
crovir-transcript-2050,HOXA13_crovir-transcript-2050
crovir-transcript-2057,HOXA2_crovir-transcript-2057
crovir-transcript-2056,HOXA3_crovir-transcript-2056
crovir-transcript-2052,HOXA6_crovir-transcript-2052
crovir-transcript-2048,HOXA9_crovir-transcript-2048
crovir-transcript-8308,HOXA9_crovir-transcript-8308
crovir-transcript-2626,HOXB1_crovir-transcript-2626
crovir-transcript-2643,HOXB13_crovir-transcript-2643
crovir-transcript-2647,HOXB3_crovir-transcript-2647
crovir-transcript-2646,HOXB5_crovir-transcript-2646
crovir-transcript-2645,HOXB8_crovir-transcript-2645
crovir-transcript-14655,HOXC10_crovir-transcript-14655
crovir-transcript-14656,HOXC13_crovir-transcript-14656
crovir-transcript-14654,HOXC4_crovir-transcript-14654
crovir-transcript-14658,HOXC9_crovir-transcript-14658
crovir-transcript-8307,HOXD10_crovir-transcript-8307
crovir-transcript-8311,HOXD13_crovir-transcript-8311
crovir-transcript-8297,HOXD3_crovir-transcript-8297
crovir-transcript-8305,HOXD4_crovir-transcript-8305
crovir-transcript-8312,HOXD8_crovir-transcript-8312
crovir-transcript-16672,HP1BP3_crovir-transcript-16672
crovir-transcript-16674,HP1BP3_crovir-transcript-16674
crovir-transcript-8708,HPCAL1_crovir-transcript-8708
crovir-transcript-581,HPCAL4_crovir-transcript-581
crovir-transcript-16390,HPD_crovir-transcript-16390
crovir-transcript-4616,HPGD_crovir-transcript-4616
crovir-transcript-824,HPN_crovir-transcript-824
crovir-transcript-16106,HPRT1_crovir-transcript-16106
crovir-transcript-10583,HPS1_crovir-transcript-10583
crovir-transcript-10804,HPS3_crovir-transcript-10804
crovir-transcript-16466,HPS4_crovir-transcript-16466
crovir-transcript-4306,HPSE_crovir-transcript-4306
crovir-transcript-10584,HPSE2_crovir-transcript-10584
crovir-transcript-7822,HRAS_crovir-transcript-7822
crovir-transcript-13581,HRH1_crovir-transcript-13581
crovir-transcript-13768,HRH2_crovir-transcript-13768
crovir-transcript-6642,HRH3_crovir-transcript-6642
crovir-transcript-8784,HS1BP3_crovir-transcript-8784
crovir-transcript-8785,HS1BP3_crovir-transcript-8785
crovir-transcript-5847,HS2ST1_crovir-transcript-5847
crovir-transcript-475,HS3ST2_crovir-transcript-475
crovir-transcript-5781,HS3ST5_crovir-transcript-5781
crovir-transcript-555,HS3ST6_crovir-transcript-555
crovir-transcript-16108,HS6ST2_crovir-transcript-16108
crovir-transcript-11448,HSBP1_crovir-transcript-11448
crovir-transcript-5272,HSBP1L1_crovir-transcript-5272
crovir-transcript-6335,HSD11B1_crovir-transcript-6335
crovir-transcript-15997,HSD11B2_crovir-transcript-15997
crovir-transcript-14881,HSD17B10_crovir-transcript-14881
crovir-transcript-7560,HSD17B12_crovir-transcript-7560
crovir-transcript-11452,HSD17B2_crovir-transcript-11452
crovir-transcript-15504,HSD17B3_crovir-transcript-15504
crovir-transcript-15575,HSD17B4_crovir-transcript-15575
crovir-transcript-5638,HSD17B7_crovir-transcript-5638
crovir-transcript-4433,HSD3B7_crovir-transcript-4433
crovir-transcript-16060,HSDL1_crovir-transcript-16060
crovir-transcript-15309,HSDL2_crovir-transcript-15309
crovir-transcript-9077,HSF2_crovir-transcript-9077
crovir-transcript-3628,HSF2BP_crovir-transcript-3628
crovir-transcript-16064,HSF4_crovir-transcript-16064
crovir-transcript-17411,HSF4_crovir-transcript-17411
crovir-transcript-9966,HSF5_crovir-transcript-9966
crovir-transcript-7085,HSP90AA1_crovir-transcript-7085
crovir-transcript-9535,HSP90AB1_crovir-transcript-9535
crovir-transcript-12191,HSP90B1_crovir-transcript-12191
crovir-transcript-10472,HSPA12A_crovir-transcript-10472
crovir-transcript-3743,HSPA13_crovir-transcript-3743
crovir-transcript-11655,HSPA14_crovir-transcript-11655
crovir-transcript-13936,HSPA4_crovir-transcript-13936
crovir-transcript-1435,HSPA5_crovir-transcript-1435
crovir-transcript-8687,HSPA9_crovir-transcript-8687
crovir-transcript-5995,HSPB11_crovir-transcript-5995
crovir-transcript-13047,HSPB2_crovir-transcript-13047
crovir-transcript-860,HSPB6_crovir-transcript-860
crovir-transcript-17253,HSPB7_crovir-transcript-17253
crovir-transcript-16258,HSPB8_crovir-transcript-16258
crovir-transcript-8093,HSPBAP1_crovir-transcript-8093
crovir-transcript-2871,HSPBP1_crovir-transcript-2871
crovir-transcript-8438,HSPD1_crovir-transcript-8438
crovir-transcript-11881,HSPG2_crovir-transcript-11881
crovir-transcript-16694,HSPG2_crovir-transcript-16694
crovir-transcript-17256,HSPG2_crovir-transcript-17256
crovir-transcript-17258,HSPG2_crovir-transcript-17258
crovir-transcript-17260,HSPG2_crovir-transcript-17260
crovir-transcript-3926,HSPH1_crovir-transcript-3926
crovir-transcript-4506,HSPH1_crovir-transcript-4506
crovir-transcript-14535,HTATIP2_crovir-transcript-14535
crovir-transcript-225,HTATSF1_crovir-transcript-225
crovir-transcript-15758,HTR1A_crovir-transcript-15758
crovir-transcript-3761,HTR1F_crovir-transcript-3761
crovir-transcript-1700,HTR2B_crovir-transcript-1700
crovir-transcript-13995,HTR4_crovir-transcript-13995
crovir-transcript-1777,HTR5A_crovir-transcript-1777
crovir-transcript-10832,HTR6_crovir-transcript-10832
crovir-transcript-10338,HTR7_crovir-transcript-10338
crovir-transcript-10433,HTRA1_crovir-transcript-10433
crovir-transcript-16558,HTRA2_crovir-transcript-16558
crovir-transcript-12871,HTRA4_crovir-transcript-12871
crovir-transcript-16731,HTT_crovir-transcript-16731
crovir-transcript-3710,HUNK_crovir-transcript-3710
crovir-transcript-8936,HUNK_crovir-transcript-8936
crovir-transcript-2303,HUS1_crovir-transcript-2303
crovir-transcript-14822,HUWE1_crovir-transcript-14822
crovir-transcript-14825,HUWE1_crovir-transcript-14825
crovir-transcript-14826,HUWE1_crovir-transcript-14826
crovir-transcript-16399,HVCN1_crovir-transcript-16399
crovir-transcript-13659,HYAL1_crovir-transcript-13659
crovir-transcript-13660,HYAL2_crovir-transcript-13660
crovir-transcript-13674,HYAL3_crovir-transcript-13674
crovir-transcript-6128,HYI_crovir-transcript-6128
crovir-transcript-11123,HYKK_crovir-transcript-11123
crovir-transcript-12760,HYLS1_crovir-transcript-12760
crovir-transcript-13074,HYOU1_crovir-transcript-13074
crovir-transcript-11402,HYPK_crovir-transcript-11402
crovir-transcript-8747,IAH1_crovir-transcript-8747
crovir-transcript-13587,IARS_crovir-transcript-13587
crovir-transcript-9613,IARS2_crovir-transcript-9613
crovir-transcript-1706,IBA57_crovir-transcript-1706
crovir-transcript-4327,IBSP_crovir-transcript-4327
crovir-transcript-8921,IBTK_crovir-transcript-8921
crovir-transcript-1973,ICA1_crovir-transcript-1973
crovir-transcript-5475,ICE1_crovir-transcript-5475
crovir-transcript-5476,ICE1_crovir-transcript-5476
crovir-transcript-11062,ICE2_crovir-transcript-11062
crovir-transcript-8874,ICK_crovir-transcript-8874
crovir-transcript-1135,ICMT_crovir-transcript-1135
crovir-transcript-3623,ICOSLG_crovir-transcript-3623
crovir-transcript-8800,ID2_crovir-transcript-8800
crovir-transcript-922,ID3_crovir-transcript-922
crovir-transcript-5295,ID4_crovir-transcript-5295
crovir-transcript-10362,IDE_crovir-transcript-10362
crovir-transcript-8495,IDH1_crovir-transcript-8495
crovir-transcript-11378,IDH2_crovir-transcript-11378
crovir-transcript-11088,IDH3A_crovir-transcript-11088
crovir-transcript-14835,IDH3G_crovir-transcript-14835
crovir-transcript-15475,IDNK_crovir-transcript-15475
crovir-transcript-12905,IDO2_crovir-transcript-12905
crovir-transcript-255,IDS_crovir-transcript-255
crovir-transcript-15261,IDUA_crovir-transcript-15261
crovir-transcript-10615,IER3_crovir-transcript-10615
crovir-transcript-15122,IFFO1_crovir-transcript-15122
crovir-transcript-6852,IFI30_crovir-transcript-6852
crovir-transcript-2394,IFI35_crovir-transcript-2394
crovir-transcript-8250,IFIH1_crovir-transcript-8250
crovir-transcript-7681,IFITM10_crovir-transcript-7681
crovir-transcript-3699,IFNAR2_crovir-transcript-3699
crovir-transcript-3700,IFNAR2_crovir-transcript-3700
crovir-transcript-9170,IFNGR1_crovir-transcript-9170
crovir-transcript-3695,IFNGR2_crovir-transcript-3695
crovir-transcript-993,IFNLR1_crovir-transcript-993
crovir-transcript-11788,IFRD1_crovir-transcript-11788
crovir-transcript-13676,IFRD2_crovir-transcript-13676
crovir-transcript-13420,IFT122_crovir-transcript-13420
crovir-transcript-415,IFT140_crovir-transcript-415
crovir-transcript-9922,IFT172_crovir-transcript-9922
crovir-transcript-10051,IFT20_crovir-transcript-10051
crovir-transcript-9998,IFT22_crovir-transcript-9998
crovir-transcript-12141,IFT27_crovir-transcript-12141
crovir-transcript-7170,IFT43_crovir-transcript-7170
crovir-transcript-13102,IFT46_crovir-transcript-13102
crovir-transcript-6489,IFT52_crovir-transcript-6489
crovir-transcript-3814,IFT57_crovir-transcript-3814
crovir-transcript-15345,IFT74_crovir-transcript-15345
crovir-transcript-16368,IFT81_crovir-transcript-16368
crovir-transcript-3979,IFT88_crovir-transcript-3979
crovir-transcript-571,IGBP1_crovir-transcript-571
crovir-transcript-11336,IGDCC3_crovir-transcript-11336
crovir-transcript-11343,IGDCC4_crovir-transcript-11343
crovir-transcript-12195,IGF1_crovir-transcript-12195
crovir-transcript-11348,IGF1R_crovir-transcript-11348
crovir-transcript-11350,IGF1R_crovir-transcript-11350
crovir-transcript-7693,IGF2_crovir-transcript-7693
crovir-transcript-2648,IGF2BP1_crovir-transcript-2648
crovir-transcript-2649,IGF2BP1_crovir-transcript-2649
crovir-transcript-10660,IGF2BP2_crovir-transcript-10660
crovir-transcript-2024,IGF2BP3_crovir-transcript-2024
crovir-transcript-9330,IGF2R_crovir-transcript-9330
crovir-transcript-409,IGFALS_crovir-transcript-409
crovir-transcript-2295,IGFBP1_crovir-transcript-2295
crovir-transcript-8056,IGFBP2_crovir-transcript-8056
crovir-transcript-2555,IGFBP4_crovir-transcript-2555
crovir-transcript-8057,IGFBP5_crovir-transcript-8057
crovir-transcript-14595,IGFBP6_crovir-transcript-14595
crovir-transcript-15146,IGFBP7_crovir-transcript-15146
crovir-transcript-15211,IGFBPL1_crovir-transcript-15211
crovir-transcript-6365,IGFN1_crovir-transcript-6365
crovir-transcript-7828,IGHMBP2_crovir-transcript-7828
crovir-transcript-3891,IGSF11_crovir-transcript-3891
crovir-transcript-17188,IGSF21_crovir-transcript-17188
crovir-transcript-7725,IGSF22_crovir-transcript-7725
crovir-transcript-12286,IGSF3_crovir-transcript-12286
crovir-transcript-3763,IGSF3_crovir-transcript-3763
crovir-transcript-3660,IGSF5_crovir-transcript-3660
crovir-transcript-1157,IGSF8_crovir-transcript-1157
crovir-transcript-11320,IGSF9_crovir-transcript-11320
crovir-transcript-12425,IGSF9_crovir-transcript-12425
crovir-transcript-12696,IGSF9B_crovir-transcript-12696
crovir-transcript-7979,IHH_crovir-transcript-7979
crovir-transcript-5524,IK_crovir-transcript-5524
crovir-transcript-11985,IKBIP_crovir-transcript-11985
crovir-transcript-12922,IKBKB_crovir-transcript-12922
crovir-transcript-14892,IKBKG_crovir-transcript-14892
crovir-transcript-8481,IKZF2_crovir-transcript-8481
crovir-transcript-8482,IKZF2_crovir-transcript-8482
crovir-transcript-2543,IKZF3_crovir-transcript-2543
crovir-transcript-14428,IKZF4_crovir-transcript-14428
crovir-transcript-10426,IKZF5_crovir-transcript-10426
crovir-transcript-6307,IL10_crovir-transcript-6307
crovir-transcript-6309,IL10_crovir-transcript-6309
crovir-transcript-13108,IL10RA_crovir-transcript-13108
crovir-transcript-3697,IL10RB_crovir-transcript-3697
crovir-transcript-2944,IL11_crovir-transcript-2944
crovir-transcript-5933,IL12RB2_crovir-transcript-5933
crovir-transcript-5934,IL12RB2_crovir-transcript-5934
crovir-transcript-16122,IL13RA1_crovir-transcript-16122
crovir-transcript-4479,IL15_crovir-transcript-4479
crovir-transcript-11264,IL16_crovir-transcript-11264
crovir-transcript-11265,IL16_crovir-transcript-11265
crovir-transcript-11266,IL16_crovir-transcript-11266
crovir-transcript-13985,IL17B_crovir-transcript-13985
crovir-transcript-16325,IL17D_crovir-transcript-16325
crovir-transcript-3978,IL17D_crovir-transcript-3978
crovir-transcript-12295,IL17RA_crovir-transcript-12295
crovir-transcript-13542,IL17RB_crovir-transcript-13542
crovir-transcript-13273,IL17RC_crovir-transcript-13273
crovir-transcript-13520,IL17RD_crovir-transcript-13520
crovir-transcript-11719,IL17REL_crovir-transcript-11719
crovir-transcript-3394,IL18R1_crovir-transcript-3394
crovir-transcript-3395,IL18R1_crovir-transcript-3395
crovir-transcript-3392,IL18RAP_crovir-transcript-3392
crovir-transcript-3396,IL18RAP_crovir-transcript-3396
crovir-transcript-12977,IL1B_crovir-transcript-12977
crovir-transcript-3397,IL1R2_crovir-transcript-3397
crovir-transcript-17031,IL1RAP_crovir-transcript-17031
crovir-transcript-3561,IL1RAPL1_crovir-transcript-3561
crovir-transcript-270,IL1RAPL2_crovir-transcript-270
crovir-transcript-866,IL20RB_crovir-transcript-866
crovir-transcript-12134,IL21R_crovir-transcript-12134
crovir-transcript-470,IL21R_crovir-transcript-470
crovir-transcript-992,IL22RA1_crovir-transcript-992
crovir-transcript-14954,IL27RA_crovir-transcript-14954
crovir-transcript-5931,IL27RA_crovir-transcript-5931
crovir-transcript-16141,IL2RG_crovir-transcript-16141
crovir-transcript-3469,IL2RG_crovir-transcript-3469
crovir-transcript-15796,IL31RA_crovir-transcript-15796
crovir-transcript-603,IL31RA_crovir-transcript-603
crovir-transcript-2017,IL6_crovir-transcript-2017
crovir-transcript-12555,IL6R_crovir-transcript-12555
crovir-transcript-15792,IL6ST_crovir-transcript-15792
crovir-transcript-15851,IL7R_crovir-transcript-15851
crovir-transcript-3871,ILDR1_crovir-transcript-3871
crovir-transcript-3771,ILDR2_crovir-transcript-3771
crovir-transcript-12559,ILF2_crovir-transcript-12559
crovir-transcript-17064,ILK_crovir-transcript-17064
crovir-transcript-10648,ILKAP_crovir-transcript-10648
crovir-transcript-15010,ILVBL_crovir-transcript-15010
crovir-transcript-15011,ILVBL_crovir-transcript-15011
crovir-transcript-7649,IMMP1L_crovir-transcript-7649
crovir-transcript-2431,IMMT_crovir-transcript-2431
crovir-transcript-14770,IMP4_crovir-transcript-14770
crovir-transcript-5004,IMPA1_crovir-transcript-5004
crovir-transcript-5226,IMPA2_crovir-transcript-5226
crovir-transcript-5157,IMPACT_crovir-transcript-5157
crovir-transcript-16638,IMPAD1_crovir-transcript-16638
crovir-transcript-13286,IMPDH2_crovir-transcript-13286
crovir-transcript-8925,IMPG1_crovir-transcript-8925
crovir-transcript-8926,IMPG1_crovir-transcript-8926
crovir-transcript-10526,INA_crovir-transcript-10526
crovir-transcript-9205,INCENP_crovir-transcript-9205
crovir-transcript-3338,ING1_crovir-transcript-3338
crovir-transcript-4598,ING2_crovir-transcript-4598
crovir-transcript-11755,ING3_crovir-transcript-11755
crovir-transcript-8024,INHA_crovir-transcript-8024
crovir-transcript-2245,INHBA_crovir-transcript-2245
crovir-transcript-8116,INHBB_crovir-transcript-8116
crovir-transcript-15307,INIP_crovir-transcript-15307
crovir-transcript-7357,INO80_crovir-transcript-7357
crovir-transcript-6848,INO80B_crovir-transcript-6848
crovir-transcript-8462,INO80D_crovir-transcript-8462
crovir-transcript-2993,INO80E_crovir-transcript-2993
crovir-transcript-14431,INPP1_crovir-transcript-14431
crovir-transcript-3429,INPP4A_crovir-transcript-3429
crovir-transcript-17271,INPP5E_crovir-transcript-17271
crovir-transcript-10455,INPP5F_crovir-transcript-10455
crovir-transcript-16345,INPP5J_crovir-transcript-16345
crovir-transcript-3268,INPP5K_crovir-transcript-3268
crovir-transcript-3269,INPP5K_crovir-transcript-3269
crovir-transcript-7692,INS_crovir-transcript-7692
crovir-transcript-7714,INSC_crovir-transcript-7714
crovir-transcript-7741,INSC_crovir-transcript-7741
crovir-transcript-1775,INSIG2_crovir-transcript-1775
crovir-transcript-14646,INSRR_crovir-transcript-14646
crovir-transcript-1576,INTS1_crovir-transcript-1576
crovir-transcript-2460,INTS10_crovir-transcript-2460
crovir-transcript-1062,INTS11_crovir-transcript-1062
crovir-transcript-4393,INTS12_crovir-transcript-4393
crovir-transcript-17224,INTS13_crovir-transcript-17224
crovir-transcript-11354,INTS14_crovir-transcript-11354
crovir-transcript-16516,INTS2_crovir-transcript-16516
crovir-transcript-2013,INTS4_crovir-transcript-2013
crovir-transcript-9670,INTS7_crovir-transcript-9670
crovir-transcript-4959,INTS8_crovir-transcript-4959
crovir-transcript-9806,INTS9_crovir-transcript-9806
crovir-transcript-16710,INVS_crovir-transcript-16710
crovir-transcript-2325,INVS_crovir-transcript-2325
crovir-transcript-2326,INVS_crovir-transcript-2326
crovir-transcript-13694,IP6K1_crovir-transcript-13694
crovir-transcript-13468,IP6K2_crovir-transcript-13468
crovir-transcript-6212,IP6K3_crovir-transcript-6212
crovir-transcript-10286,IPMK_crovir-transcript-10286
crovir-transcript-15773,IPO11_crovir-transcript-15773
crovir-transcript-6120,IPO13_crovir-transcript-6120
crovir-transcript-3326,IPO5_crovir-transcript-3326
crovir-transcript-7793,IPO7_crovir-transcript-7793
crovir-transcript-12259,IPO8_crovir-transcript-12259
crovir-transcript-6419,IPO9_crovir-transcript-6419
crovir-transcript-6081,IPP_crovir-transcript-6081
crovir-transcript-13595,IPPK_crovir-transcript-13595
crovir-transcript-8536,IQCA1_crovir-transcript-8536
crovir-transcript-8103,IQCB1_crovir-transcript-8103
crovir-transcript-2262,IQCD_crovir-transcript-2262
crovir-transcript-288,IQCE_crovir-transcript-288
crovir-transcript-12372,IQCH_crovir-transcript-12372
crovir-transcript-378,IQCK_crovir-transcript-378
crovir-transcript-11385,IQGAP1_crovir-transcript-11385
crovir-transcript-15716,IQGAP2_crovir-transcript-15716
crovir-transcript-13563,IQSEC1_crovir-transcript-13563
crovir-transcript-14894,IQSEC2_crovir-transcript-14894
crovir-transcript-11738,IQUB_crovir-transcript-11738
crovir-transcript-14877,IRAK1_crovir-transcript-14877
crovir-transcript-8912,IRAK1BP1_crovir-transcript-8912
crovir-transcript-13409,IRAK2_crovir-transcript-13409
crovir-transcript-11812,IRAK4_crovir-transcript-11812
crovir-transcript-11814,IRAK4_crovir-transcript-11814
crovir-transcript-11122,IREB2_crovir-transcript-11122
crovir-transcript-13915,IRF1_crovir-transcript-13915
crovir-transcript-4589,IRF2_crovir-transcript-4589
crovir-transcript-1317,IRF2BP1_crovir-transcript-1317
crovir-transcript-7173,IRF2BPL_crovir-transcript-7173
crovir-transcript-2698,IRF3_crovir-transcript-2698
crovir-transcript-5372,IRF4_crovir-transcript-5372
crovir-transcript-17257,IRF5_crovir-transcript-17257
crovir-transcript-6337,IRF6_crovir-transcript-6337
crovir-transcript-7835,IRF7_crovir-transcript-7835
crovir-transcript-11426,IRF8_crovir-transcript-11426
crovir-transcript-17089,IRF9_crovir-transcript-17089
crovir-transcript-16912,IRGC_crovir-transcript-16912
crovir-transcript-745,IRGC_crovir-transcript-745
crovir-transcript-746,IRGC_crovir-transcript-746
crovir-transcript-747,IRGC_crovir-transcript-747
crovir-transcript-752,IRGC_crovir-transcript-752
